"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00636868440954344,0.00110246034681984,"[ 0.0042 , 0.0085 ]",4918,373.879191718395,"[ 4,185 , 5,651 ]"
"Participated for illspouse leave",5.56839019134543e-05,3.48093103555659e-05,"[ -0.000013 , 0.00012 ]",43,25.854400012377,"[ -7.7 , 94 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.00636868440954344,0.00110246034681984,"[ 0.0042 , 0.0085 ]",4918,373.879191718395,"[ 4,185 , 5,651 ]"
"Participated for ill relative or child bonding leave",5.56839019134543e-05,3.48093103555659e-05,"[ -0.000013 , 0.00012 ]",43,25.854400012377,"[ -7.7 , 94 ]"
"Participated for any reason",0.00640882861789966,0.00110739486512121,"[ 0.0042 , 0.0086 ]",4949,372.105025496835,"[ 4,220 , 5,678 ]"
"Benefits Received ($), for own illness or maternal disability leave",23.527364224384,4.22356347149422,"[ 15 , 32 ]",18168207.0918969,1915865.35838822,"[ 14,413,111 , 21,923,303 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.0572670580013085,0.0358935487116962,"[ -0.013 , 0.13 ]",44222.5384615385,26638.487873296,"[ -7,989 , 96,434 ]"
"Benefits Received ($), total",23.5846312823853,4.22869722526192,"[ 15 , 32 ]",18212429.6303584,1911910.23997896,"[ 14,465,086 , 21,959,774 ]"
