"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.006369","0.001102","[ 0.0042 , 0.0085 ]","     4,918","      374","[ 4,185 , 5,651 ]"
"Participated for illspouse leave"," 0.000056","0.000035","[ -0.000013 , 0.00012 ]","        43","       26","[ -7.7 , 94 ]"
"Participated for illchild leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illparent leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for matdis leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for bond leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave"," 0.006369","0.001102","[ 0.0042 , 0.0085 ]","     4,918","      374","[ 4,185 , 5,651 ]"
"Participated for ill relative or child bonding leave"," 0.000056","0.000035","[ -0.000013 , 0.00012 ]","        43","       26","[ -7.7 , 94 ]"
"Participated for any reason"," 0.006409","0.001107","[ 0.0042 , 0.0086 ]","     4,949","      372","[ 4,220 , 5,678 ]"
"Benefits Received ($), for own illness or maternal disability leave","23.527364","4.223563","[ 15 , 32 ]","18,168,207","1,915,865","[ 14,413,111 , 21,923,303 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 0.057267","0.035894","[ -0.013 , 0.13 ]","    44,223","   26,638","[ -7,989 , 96,434 ]"
"Benefits Received ($), total","23.584631","4.228697","[ 15 , 32 ]","18,212,430","1,911,910","[ 14,465,086 , 21,959,774 ]"
