"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.02478","0.00115","[ 0.023 , 0.027 ]","    12,754","      600","[ 11,579 , 13,929 ]"
"Participated for illspouse leave","  0.00140","0.00035","[ 0.00072 , 0.0021 ]","       723","      179","[ 372 , 1,074 ]"
"Participated for illchild leave","  0.00099","0.00022","[ 0.00056 , 0.0014 ]","       510","      114","[ 287 , 733 ]"
"Participated for illparent leave","  0.00154","0.00033","[ 0.0009 , 0.0022 ]","       794","      169","[ 463 , 1,125 ]"
"Participated for matdis leave","  0.01104","0.00073","[ 0.0096 , 0.012 ]","     5,681","      379","[ 4,938 , 6,424 ]"
"Participated for bond leave","  0.00386","0.00046","[ 0.003 , 0.0048 ]","     1,988","      236","[ 1,525 , 2,451 ]"
"Participated for  for own illness or maternal disability leave","  0.03474","0.00139","[ 0.032 , 0.037 ]","    17,880","      729","[ 16,450 , 19,310 ]"
"Participated for ill relative or child bonding leave","  0.00774","0.00068","[ 0.0064 , 0.0091 ]","     3,982","      351","[ 3,293 , 4,671 ]"
"Participated for any reason","  0.04156","0.00164","[ 0.038 , 0.045 ]","    21,386","      857","[ 19,706 , 23,066 ]"
"Benefits Received ($), for own illness or maternal disability leave","154.80164","8.15710","[ 139 , 171 ]","79,666,344","4,232,317","[ 71,371,002 , 87,961,687 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 11.11338","1.23557","[ 8.7 , 14 ]"," 5,719,335","  638,191","[ 4,468,480 , 6,970,190 ]"
"Benefits Received ($), total","165.91503","8.58092","[ 149 , 183 ]","85,385,679","4,456,772","[ 76,650,406 , 94,120,953 ]"
