"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00994664447599001,0.000833524887995603,"[ 0.0083 , 0.012 ]",4064,340.903505408789,"[ 3,396 , 4,732 ]"
"Participated for illspouse leave",0.000881100396495178,0.000212553594770512,"[ 0.00046 , 0.0013 ]",360,86.7061128179553,"[ 190 , 530 ]"
"Participated for illchild leave",0.000509080229086103,0.000172177727531148,"[ 0.00017 , 0.00085 ]",208,70.5584863783231,"[ 70 , 346 ]"
"Participated for illparent leave",0.00151989818395418,0.000291201951369997,"[ 0.00095 , 0.0021 ]",621,118.838966673394,"[ 388 , 854 ]"
"Participated for matdis leave",0.00237162856723286,0.000412370569054717,"[ 0.0016 , 0.0032 ]",969,168.505786250799,"[ 639 , 1,299 ]"
"Participated for bond leave",0.00267756620490479,0.000435026816597974,"[ 0.0018 , 0.0035 ]",1094,177.416881947576,"[ 746 , 1,442 ]"
"Participated for  for own illness or maternal disability leave",0.0120833129374908,0.000884716332888791,"[ 0.01 , 0.014 ]",4937,362.493999950344,"[ 4,227 , 5,647 ]"
"Participated for ill relative or child bonding leave",0.00558764501444026,0.000576904039035356,"[ 0.0045 , 0.0067 ]",2283,235.62682360037,"[ 1,821 , 2,745 ]"
"Participated for any reason",0.0170909001909051,0.00107740870316264,"[ 0.015 , 0.019 ]",6983,441.023128645199,"[ 6,119 , 7,847 ]"
"Benefits Received ($), for own illness or maternal disability leave",70.1636943594759,8.19171047933359,"[ 54 , 86 ]",28667482.2413946,3351179.38412912,"[ 22,099,171 , 35,235,794 ]"
"Benefits Received ($), for for ill relative or child bonding leave",7.92048466737614,0.967286475105093,"[ 6 , 9.8 ]",3236151.62539654,395628.655764357,"[ 2,460,719 , 4,011,584 ]"
"Benefits Received ($), total",78.084179026852,8.38502671494491,"[ 62 , 95 ]",31903633.8667912,3431148.752127,"[ 25,178,582 , 38,628,685 ]"
