"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0195089723784818,0.000920596630132063,"[ 0.018 , 0.021 ]",10040,484.653587627287,"[ 9,090 , 10,990 ]"
"Participated for illspouse leave",0.000256492465533825,0.000170576432297976,"[ -0.000078 , 0.00059 ]",132,87.872066096115,"[ -40 , 304 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.0195089723784818,0.000920596630132063,"[ 0.018 , 0.021 ]",10040,484.653587627287,"[ 9,090 , 10,990 ]"
"Participated for ill relative or child bonding leave",0.000256492465533825,0.000170576432297976,"[ -0.000078 , 0.00059 ]",132,87.872066096115,"[ -40 , 304 ]"
"Participated for any reason",0.0195322898753485,0.000921635803123629,"[ 0.018 , 0.021 ]",10052,485.045307162125,"[ 9,101 , 11,003 ]"
"Benefits Received ($), for own illness or maternal disability leave",71.0554534034628,5.39049833158066,"[ 60 , 82 ]",36567623.2622911,2832757.91319971,"[ 31,015,418 , 42,119,829 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.361405994370852,0.21801629834653,"[ -0.066 , 0.79 ]",185992.173913043,112365.921326548,"[ -34,245 , 406,229 ]"
"Benefits Received ($), total",71.4168593978336,5.43362475569406,"[ 61 , 82 ]",36753615.4362041,2856078.78267319,"[ 31,155,701 , 42,351,530 ]"
