"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.01951","0.00092","[ 0.018 , 0.021 ]","    10,040","      485","[ 9,090 , 10,990 ]"
"Participated for illspouse leave"," 0.00026","0.00017","[ -0.000078 , 0.00059 ]","       132","       88","[ -40 , 304 ]"
"Participated for illchild leave"," 0.00000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illparent leave"," 0.00000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for matdis leave"," 0.00000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for bond leave"," 0.00000","0.00000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave"," 0.01951","0.00092","[ 0.018 , 0.021 ]","    10,040","      485","[ 9,090 , 10,990 ]"
"Participated for ill relative or child bonding leave"," 0.00026","0.00017","[ -0.000078 , 0.00059 ]","       132","       88","[ -40 , 304 ]"
"Participated for any reason"," 0.01953","0.00092","[ 0.018 , 0.021 ]","    10,052","      485","[ 9,101 , 11,003 ]"
"Benefits Received ($), for own illness or maternal disability leave","71.05545","5.39050","[ 60 , 82 ]","36,567,623","2,832,758","[ 31,015,418 , 42,119,829 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 0.36141","0.21802","[ -0.066 , 0.79 ]","   185,992","  112,366","[ -34,245 , 406,229 ]"
"Benefits Received ($), total","71.41686","5.43362","[ 61 , 82 ]","36,753,615","2,856,079","[ 31,155,701 , 42,351,530 ]"
