"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.00995","0.00083","[ 0.0083 , 0.012 ]","     4,064","      341","[ 3,396 , 4,732 ]"
"Participated for illspouse leave"," 0.00088","0.00021","[ 0.00046 , 0.0013 ]","       360","       87","[ 190 , 530 ]"
"Participated for illchild leave"," 0.00051","0.00017","[ 0.00017 , 0.00085 ]","       208","       71","[ 70 , 346 ]"
"Participated for illparent leave"," 0.00152","0.00029","[ 0.00095 , 0.0021 ]","       621","      119","[ 388 , 854 ]"
"Participated for matdis leave"," 0.00237","0.00041","[ 0.0016 , 0.0032 ]","       969","      169","[ 639 , 1,299 ]"
"Participated for bond leave"," 0.00268","0.00044","[ 0.0018 , 0.0035 ]","     1,094","      177","[ 746 , 1,442 ]"
"Participated for  for own illness or maternal disability leave"," 0.01208","0.00088","[ 0.01 , 0.014 ]","     4,937","      362","[ 4,227 , 5,647 ]"
"Participated for ill relative or child bonding leave"," 0.00559","0.00058","[ 0.0045 , 0.0067 ]","     2,283","      236","[ 1,821 , 2,745 ]"
"Participated for any reason"," 0.01709","0.00108","[ 0.015 , 0.019 ]","     6,983","      441","[ 6,119 , 7,847 ]"
"Benefits Received ($), for own illness or maternal disability leave","70.16369","8.19171","[ 54 , 86 ]","28,667,482","3,351,179","[ 22,099,171 , 35,235,794 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 7.92048","0.96729","[ 6 , 9.8 ]"," 3,236,152","  395,629","[ 2,460,719 , 4,011,584 ]"
"Benefits Received ($), total","78.08418","8.38503","[ 62 , 95 ]","31,903,634","3,431,149","[ 25,178,582 , 38,628,685 ]"
