"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0123579724369684,0.000928528798116001,"[ 0.011 , 0.014 ]",5200,393.977600886142,"[ 4,428 , 5,972 ]"
"Participated for illspouse leave",0.000857928471104922,0.000230188785372252,"[ 0.00041 , 0.0013 ]",361,97.0334993700629,"[ 171 , 551 ]"
"Participated for illchild leave",0.00038737490523574,0.000161385934763701,"[ 0.000071 , 0.0007 ]",163,68.0745914420351,"[ 30 , 296 ]"
"Participated for illparent leave",0.000729595680413327,0.000183211611965307,"[ 0.00037 , 0.0011 ]",307,76.9672008065774,"[ 156 , 458 ]"
"Participated for matdis leave",0.00832499566282698,0.000859593517204794,"[ 0.0066 , 0.01 ]",3503,360.369324443688,"[ 2,797 , 4,209 ]"
"Participated for bond leave",0.0048077265846129,0.000508595284377538,"[ 0.0038 , 0.0058 ]",2023,215.568898498833,"[ 1,600 , 2,446 ]"
"Participated for  for own illness or maternal disability leave",0.0204144198526074,0.00122375790262059,"[ 0.018 , 0.023 ]",8590,516.364406209413,"[ 7,578 , 9,602 ]"
"Participated for ill relative or child bonding leave",0.0066804347154458,0.000659814597370615,"[ 0.0054 , 0.008 ]",2811,280.283071197673,"[ 2,262 , 3,360 ]"
"Participated for any reason",0.0260064023803356,0.00134225317290272,"[ 0.023 , 0.029 ]",10943,569.082814711532,"[ 9,828 , 12,058 ]"
"Benefits Received ($), for own illness or maternal disability leave",86.7085485529218,6.39701965692609,"[ 74 , 99 ]",36485309.768647,2722249.94600809,"[ 31,149,700 , 41,820,920 ]"
"Benefits Received ($), for for ill relative or child bonding leave",8.6646613941251,1.03856308037495,"[ 6.6 , 11 ]",3645924.88608135,440325.37002276,"[ 2,782,887 , 4,508,963 ]"
"Benefits Received ($), total",95.3732099470469,6.42766509795103,"[ 83 , 108 ]",40131234.6547283,2743873.80374591,"[ 34,753,242 , 45,509,227 ]"
