"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.01236","0.00093","[ 0.011 , 0.014 ]","     5,200","      394","[ 4,428 , 5,972 ]"
"Participated for illspouse leave"," 0.00086","0.00023","[ 0.00041 , 0.0013 ]","       361","       97","[ 171 , 551 ]"
"Participated for illchild leave"," 0.00039","0.00016","[ 0.000071 , 0.0007 ]","       163","       68","[ 30 , 296 ]"
"Participated for illparent leave"," 0.00073","0.00018","[ 0.00037 , 0.0011 ]","       307","       77","[ 156 , 458 ]"
"Participated for matdis leave"," 0.00832","0.00086","[ 0.0066 , 0.01 ]","     3,503","      360","[ 2,797 , 4,209 ]"
"Participated for bond leave"," 0.00481","0.00051","[ 0.0038 , 0.0058 ]","     2,023","      216","[ 1,600 , 2,446 ]"
"Participated for  for own illness or maternal disability leave"," 0.02041","0.00122","[ 0.018 , 0.023 ]","     8,590","      516","[ 7,578 , 9,602 ]"
"Participated for ill relative or child bonding leave"," 0.00668","0.00066","[ 0.0054 , 0.008 ]","     2,811","      280","[ 2,262 , 3,360 ]"
"Participated for any reason"," 0.02601","0.00134","[ 0.023 , 0.029 ]","    10,943","      569","[ 9,828 , 12,058 ]"
"Benefits Received ($), for own illness or maternal disability leave","86.70855","6.39702","[ 74 , 99 ]","36,485,310","2,722,250","[ 31,149,700 , 41,820,920 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 8.66466","1.03856","[ 6.6 , 11 ]"," 3,645,925","  440,325","[ 2,782,887 , 4,508,963 ]"
"Benefits Received ($), total","95.37321","6.42767","[ 83 , 108 ]","40,131,235","2,743,874","[ 34,753,242 , 45,509,227 ]"
