"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0121077879485046,0.00102895996406949,"[ 0.01 , 0.014 ]",4947,420.627150811737,"[ 4,123 , 5,771 ]"
"Participated for illspouse leave",0.00078809535464291,0.000182068714877321,"[ 0.00043 , 0.0011 ]",322,74.6481747934938,"[ 176 , 468 ]"
"Participated for illchild leave",0.000893337902002056,0.000252341297615441,"[ 0.0004 , 0.0014 ]",365,103.327392302332,"[ 162 , 568 ]"
"Participated for illparent leave",0.00155905820157619,0.00029350170863342,"[ 0.00098 , 0.0021 ]",637,119.641965881542,"[ 403 , 871 ]"
"Participated for matdis leave",0.00223946350775858,0.000450731806537715,"[ 0.0014 , 0.0031 ]",915,183.784384537969,"[ 555 , 1,275 ]"
"Participated for bond leave",0.000357335160800822,0.000141230737716369,"[ 0.000081 , 0.00063 ]",146,57.8364072189827,"[ 33 , 259 ]"
"Participated for  for own illness or maternal disability leave",0.0140364188163885,0.001129533363986,"[ 0.012 , 0.016 ]",5735,460.401563854859,"[ 4,833 , 6,637 ]"
"Participated for ill relative or child bonding leave",0.00359782661902198,0.000429745343875074,"[ 0.0028 , 0.0044 ]",1470,176.938548654611,"[ 1,123 , 1,817 ]"
"Participated for any reason",0.0172499877624945,0.00112091795289086,"[ 0.015 , 0.019 ]",7048,458.505070855274,"[ 6,149 , 7,947 ]"
"Benefits Received ($), for own illness or maternal disability leave",46.0722237563638,5.23257798485916,"[ 36 , 56 ]",18824189.1823751,2111089.04399404,"[ 14,686,455 , 22,961,924 ]"
"Benefits Received ($), for for ill relative or child bonding leave",3.44560655564361,0.599969019738215,"[ 2.3 , 4.6 ]",1407805.92650487,246794.036490216,"[ 924,090 , 1,891,522 ]"
"Benefits Received ($), total",49.5178303120075,5.22347471549333,"[ 39 , 60 ]",20231995.10888,2107976.38249397,"[ 16,100,361 , 24,363,629 ]"
