"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.01211","0.00103","[ 0.01 , 0.014 ]","     4,947","      421","[ 4,123 , 5,771 ]"
"Participated for illspouse leave"," 0.00079","0.00018","[ 0.00043 , 0.0011 ]","       322","       75","[ 176 , 468 ]"
"Participated for illchild leave"," 0.00089","0.00025","[ 0.0004 , 0.0014 ]","       365","      103","[ 162 , 568 ]"
"Participated for illparent leave"," 0.00156","0.00029","[ 0.00098 , 0.0021 ]","       637","      120","[ 403 , 871 ]"
"Participated for matdis leave"," 0.00224","0.00045","[ 0.0014 , 0.0031 ]","       915","      184","[ 555 , 1,275 ]"
"Participated for bond leave"," 0.00036","0.00014","[ 0.000081 , 0.00063 ]","       146","       58","[ 33 , 259 ]"
"Participated for  for own illness or maternal disability leave"," 0.01404","0.00113","[ 0.012 , 0.016 ]","     5,735","      460","[ 4,833 , 6,637 ]"
"Participated for ill relative or child bonding leave"," 0.00360","0.00043","[ 0.0028 , 0.0044 ]","     1,470","      177","[ 1,123 , 1,817 ]"
"Participated for any reason"," 0.01725","0.00112","[ 0.015 , 0.019 ]","     7,048","      459","[ 6,149 , 7,947 ]"
"Benefits Received ($), for own illness or maternal disability leave","46.07222","5.23258","[ 36 , 56 ]","18,824,189","2,111,089","[ 14,686,455 , 22,961,924 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 3.44561","0.59997","[ 2.3 , 4.6 ]"," 1,407,806","  246,794","[ 924,090 , 1,891,522 ]"
"Benefits Received ($), total","49.51783","5.22347","[ 39 , 60 ]","20,231,995","2,107,976","[ 16,100,361 , 24,363,629 ]"
