"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0697684663958099,0.00216585540790136,"[ 0.066 , 0.074 ]",28506,892.085646112524,"[ 26,758  30,254 ]"
"Participated for illspouse leave",0.00889421900239855,0.000718491008228568,"[ 0.0075 , 0.01 ]",3634,294.778815385367,"[ 3,056  4,212 ]"
"Participated for illchild leave",0.0101277595574918,0.000822560635493879,"[ 0.0085 , 0.012 ]",4138,337.214620086378,"[ 3,477  4,799 ]"
"Participated for illparent leave",0.0182975182338832,0.00111690762062442,"[ 0.016 , 0.02 ]",7476,461.642339912621,"[ 6,571  8,381 ]"
"Participated for matdis leave",0.00991972196387488,0.000843761934439891,"[ 0.0083 , 0.012 ]",4053,346.752289105638,"[ 3,373  4,733 ]"
"Participated for bond leave",0.00811836115326252,0.000929097200919708,"[ 0.0063 , 0.0099 ]",3317,378.937329910897,"[ 2,574  4,060 ]"
"Participated for  for own illness or maternal disability leave",0.0790493905722258,0.00227796214192344,"[ 0.075 , 0.084 ]",32298,943.309572727851,"[ 30,449  34,147 ]"
"Participated for ill relative or child bonding leave",0.0408634783885653,0.00181012146217946,"[ 0.037 , 0.044 ]",16696,744.337020441681,"[ 15,237  18,155 ]"
"Participated for any reason",0.116197562288903,0.00281706233227829,"[ 0.11 , 0.12 ]",47476,1164.7643323866,"[ 45,193  49,759 ]"
"Benefits Received ($), for own illness or maternal disability leave",394.966507549998,17.6509141340845,"[ 360 , 430 ]",161375415.654778,7231968.60703492,"[ 147,200,757  175,550,074 ]"
"Benefits Received ($), for for ill relative or child bonding leave",49.8363727818734,2.67144504607765,"[ 45 , 55 ]",20362145.1912178,1098677.36750909,"[ 18,208,738  22,515,553 ]"
"Benefits Received ($), total",444.802880331872,17.7698397386737,"[ 410 , 480 ]",181737560.845996,7292951.75828333,"[ 167,443,375  196,031,746 ]"
