"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0488381779322212,0.00227188309279669,"[ 0.044 , 0.053 ]",16064,755.302985562747,"[ 14,584 , 17,544 ]"
"Participated for illspouse leave",0.00614733539460603,0.000707210538443052,"[ 0.0048 , 0.0075 ]",2022,232.992703748422,"[ 1,565 , 2,479 ]"
"Participated for illchild leave",0.00865248097579069,0.000928980021277002,"[ 0.0068 , 0.01 ]",2846,309.866584193908,"[ 2,239 , 3,453 ]"
"Participated for illparent leave",0.00894130237167969,0.000794242537192495,"[ 0.0074 , 0.01 ]",2941,262.996197691145,"[ 2,426 , 3,456 ]"
"Participated for matdis leave",0.0218957020336066,0.00163277558273314,"[ 0.019 , 0.025 ]",7202,544.12613427403,"[ 6,136 , 8,268 ]"
"Participated for bond leave",0.00995065714468128,0.000955213784954195,"[ 0.0081 , 0.012 ]",3273,315.308975451064,"[ 2,655 , 3,891 ]"
"Participated for  for own illness or maternal disability leave",0.0665110071354086,0.00251806144933332,"[ 0.062 , 0.071 ]",21877,850.576921859511,"[ 20,210 , 23,544 ]"
"Participated for ill relative or child bonding leave",0.032080456520219,0.0017249473289863,"[ 0.029 , 0.035 ]",10552,582.477767816077,"[ 9,410 , 11,694 ]"
"Participated for any reason",0.0895467936264718,0.00268045838895746,"[ 0.084 , 0.095 ]",29454,934.540849829476,"[ 27,622 , 31,286 ]"
"Benefits Received ($), for own illness or maternal disability leave",258.1123634418,11.6896938580724,"[ 235 , 281 ]",84899092.9203671,3907280.62676326,"[ 77,240,823 , 92,557,363 ]"
"Benefits Received ($), for for ill relative or child bonding leave",36.722550226456,2.20822168685148,"[ 32 , 41 ]",12078891.3881366,749344.930438148,"[ 10,610,175 , 13,547,607 ]"
"Benefits Received ($), total",294.834913668256,12.3409625340862,"[ 271 , 319 ]",96977984.3085037,4158957.48345838,"[ 88,826,428 , 105,129,541 ]"
