"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0415595519154352,0.00164693485890159,"[ 0.038 , 0.045 ]",21388,855.265806635575,"[ 19,712 , 23,064 ]"
"Participated for illspouse leave",0.00190231911937587,0.000350546472895049,"[ 0.0012 , 0.0026 ]",979,179.982776953796,"[ 626 , 1,332 ]"
"Participated for illchild leave",0.0033149708045508,0.000403795414919971,"[ 0.0025 , 0.0041 ]",1706,207.541200728916,"[ 1,299 , 2,113 ]"
"Participated for illparent leave",0.00433122504299163,0.000382371697667599,"[ 0.0036 , 0.0051 ]",2229,195.296825371023,"[ 1,846 , 2,612 ]"
"Participated for matdis leave",0.0154206379278518,0.00115849028843827,"[ 0.013 , 0.018 ]",7936,595.186105348571,"[ 6,769 , 9,103 ]"
"Participated for bond leave",0.00415245756701351,0.000594665181578978,"[ 0.003 , 0.0053 ]",2137,305.123089916184,"[ 1,539 , 2,735 ]"
"Participated for  for own illness or maternal disability leave",0.0537973515209809,0.00192784824168515,"[ 0.05 , 0.058 ]",27686,1000.06109813351,"[ 25,726 , 29,646 ]"
"Participated for ill relative or child bonding leave",0.013100546989614,0.000871785434152372,"[ 0.011 , 0.015 ]",6742,442.990124043415,"[ 5,874 , 7,610 ]"
"Participated for any reason",0.0619157266800742,0.00200722068780777,"[ 0.058 , 0.066 ]",31864,1029.6904874767,"[ 29,846 , 33,882 ]"
"Benefits Received ($), for own illness or maternal disability leave",268.162268921626,13.2552180115793,"[ 242 , 294 ]",138005689.266481,6817889.96689711,"[ 124,642,625 , 151,368,754 ]"
"Benefits Received ($), for for ill relative or child bonding leave",20.6286709609819,1.45975677823238,"[ 18 , 23 ]",10616236.0800049,744699.781332963,"[ 9,156,625 , 12,075,848 ]"
"Benefits Received ($), total",288.790939882608,13.5105151836357,"[ 262 , 315 ]",148621925.346486,6939622.93711551,"[ 135,020,264 , 162,223,586 ]"
