"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0416"," 0.00165","[ 0.038 , 0.045 ]","     21,388","      855","[ 19,712 , 23,064 ]"
"Participated for illspouse leave","  0.0019"," 0.00035","[ 0.0012 , 0.0026 ]","        979","      180","[ 626 , 1,332 ]"
"Participated for illchild leave","  0.0033"," 0.00040","[ 0.0025 , 0.0041 ]","      1,706","      208","[ 1,299 , 2,113 ]"
"Participated for illparent leave","  0.0043"," 0.00038","[ 0.0036 , 0.0051 ]","      2,229","      195","[ 1,846 , 2,612 ]"
"Participated for matdis leave","  0.0154"," 0.00116","[ 0.013 , 0.018 ]","      7,936","      595","[ 6,769 , 9,103 ]"
"Participated for bond leave","  0.0042"," 0.00059","[ 0.003 , 0.0053 ]","      2,137","      305","[ 1,539 , 2,735 ]"
"Participated for  for own illness or maternal disability leave","  0.0538"," 0.00193","[ 0.05 , 0.058 ]","     27,686","    1,000","[ 25,726 , 29,646 ]"
"Participated for ill relative or child bonding leave","  0.0131"," 0.00087","[ 0.011 , 0.015 ]","      6,742","      443","[ 5,874 , 7,610 ]"
"Participated for any reason","  0.0619"," 0.00201","[ 0.058 , 0.066 ]","     31,864","    1,030","[ 29,846 , 33,882 ]"
"Benefits Received ($), for own illness or maternal disability leave","268.1623","13.25522","[ 242 , 294 ]","138,005,689","6,817,890","[ 124,642,625 , 151,368,754 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 20.6287"," 1.45976","[ 18 , 23 ]"," 10,616,236","  744,700","[ 9,156,625 , 12,075,848 ]"
"Benefits Received ($), total","288.7909","13.51052","[ 262 , 315 ]","148,621,925","6,939,623","[ 135,020,264 , 162,223,586 ]"
