"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0409540359293162,0.00162279812183984,"[ 0.038 , 0.044 ]",16733,678.741703448374,"[ 15,403 , 18,063 ]"
"Participated for illspouse leave",0.00454990454745705,0.000563581214977398,"[ 0.0034 , 0.0057 ]",1859,230.791031021572,"[ 1,407 , 2,311 ]"
"Participated for illchild leave",0.00658377796270008,0.000724467559095123,"[ 0.0052 , 0.008 ]",2690,296.723271753329,"[ 2,108 , 3,272 ]"
"Participated for illparent leave",0.00675020803759362,0.000745625830889502,"[ 0.0053 , 0.0082 ]",2758,300.881039615327,"[ 2,168 , 3,348 ]"
"Participated for matdis leave",0.0169367076215184,0.00117599009828935,"[ 0.015 , 0.019 ]",6920,477.956169538589,"[ 5,983 , 7,857 ]"
"Participated for bond leave",0.0144133339860003,0.000997704401297869,"[ 0.012 , 0.016 ]",5889,415.931965590528,"[ 5,074 , 6,704 ]"
"Participated for  for own illness or maternal disability leave",0.0552596798668559,0.00192638325842156,"[ 0.051 , 0.059 ]",22578,801.203906630516,"[ 21,008 , 24,148 ]"
"Participated for ill relative or child bonding leave",0.0304689412110235,0.00147634549394443,"[ 0.028 , 0.033 ]",12449,604.07375377515,"[ 11,265 , 13,633 ]"
"Participated for any reason",0.0772725047726271,0.00211918390819752,"[ 0.073 , 0.081 ]",31572,881.429066913498,"[ 29,844 , 33,300 ]"
"Benefits Received ($), for own illness or maternal disability leave",363.240306623935,17.012599932893,"[ 330 , 397 ]",148412724.480407,7004606.99501072,"[ 134,683,695 , 162,141,754 ]"
"Benefits Received ($), for for ill relative or child bonding leave",51.2397797422769,2.62993481138435,"[ 46 , 56 ]",20935549.2070995,1082389.84964358,"[ 18,814,065 , 23,057,033 ]"
"Benefits Received ($), total",414.480086366212,17.802595546845,"[ 380 , 449 ]",169348273.687507,7342871.08759796,"[ 154,956,246 , 183,740,301 ]"
