"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0359167176736911,0.00150990911066615,"[ 0.033 , 0.039 ]",18484,785.453213119661,"[ 16,945 , 20,023 ]"
"Participated for illspouse leave",0.00064706053805124,0.000160897311308606,"[ 0.00033 , 0.00096 ]",333,82.9629435350506,"[ 170 , 496 ]"
"Participated for illchild leave",3.10899958222818e-05,3.1264384709088e-05,"[ -0.00003 , 0.000092 ]",16,16.0950302888811,"[ -16 , 48 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.0359167176736911,0.00150990911066615,"[ 0.033 , 0.039 ]",18484,785.453213119661,"[ 16,945 , 20,023 ]"
"Participated for ill relative or child bonding leave",0.00064706053805124,0.000160897311308606,"[ 0.00033 , 0.00096 ]",333,82.9629435350506,"[ 170 , 496 ]"
"Participated for any reason",0.0359167176736911,0.00150990911066615,"[ 0.033 , 0.039 ]",18484,785.453213119661,"[ 16,945 , 20,023 ]"
"Benefits Received ($), for own illness or maternal disability leave",115.462972478161,7.54328433626072,"[ 101 , 130 ]",59421286.8412985,3880730.72055435,"[ 51,815,055 , 67,027,519 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.640668721543059,0.15271982758129,"[ 0.34 , 0.94 ]",329710.547511312,78610.4467952243,"[ 175,634 , 483,787 ]"
"Benefits Received ($), total",116.103641199704,7.53242555753815,"[ 101 , 131 ]",59750997.3888098,3875390.68474439,"[ 52,155,232 , 67,346,763 ]"
