"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.035917","0.001510","[ 0.033 , 0.039 ]","    18,484","      785","[ 16,945 , 20,023 ]"
"Participated for illspouse leave","  0.000647","0.000161","[ 0.00033 , 0.00096 ]","       333","       83","[ 170 , 496 ]"
"Participated for illchild leave","  0.000031","0.000031","[ -0.00003 , 0.000092 ]","        16","       16","[ -16 , 48 ]"
"Participated for illparent leave","  0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for matdis leave","  0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for bond leave","  0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave","  0.035917","0.001510","[ 0.033 , 0.039 ]","    18,484","      785","[ 16,945 , 20,023 ]"
"Participated for ill relative or child bonding leave","  0.000647","0.000161","[ 0.00033 , 0.00096 ]","       333","       83","[ 170 , 496 ]"
"Participated for any reason","  0.035917","0.001510","[ 0.033 , 0.039 ]","    18,484","      785","[ 16,945 , 20,023 ]"
"Benefits Received ($), for own illness or maternal disability leave","115.462972","7.543284","[ 101 , 130 ]","59,421,287","3,880,731","[ 51,815,055 , 67,027,519 ]"
"Benefits Received ($), for for ill relative or child bonding leave","  0.640669","0.152720","[ 0.34 , 0.94 ]","   329,711","   78,610","[ 175,634 , 483,787 ]"
"Benefits Received ($), total","116.103641","7.532426","[ 101 , 131 ]","59,750,997","3,875,391","[ 52,155,232 , 67,346,763 ]"
