"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","  0.0410"," 0.00162","[ 0.038 , 0.044 ]","     16,733","      679","[ 15,403 , 18,063 ]"
"Participated for illspouse leave","  0.0045"," 0.00056","[ 0.0034 , 0.0057 ]","      1,859","      231","[ 1,407 , 2,311 ]"
"Participated for illchild leave","  0.0066"," 0.00072","[ 0.0052 , 0.008 ]","      2,690","      297","[ 2,108 , 3,272 ]"
"Participated for illparent leave","  0.0068"," 0.00075","[ 0.0053 , 0.0082 ]","      2,758","      301","[ 2,168 , 3,348 ]"
"Participated for matdis leave","  0.0169"," 0.00118","[ 0.015 , 0.019 ]","      6,920","      478","[ 5,983 , 7,857 ]"
"Participated for bond leave","  0.0144"," 0.00100","[ 0.012 , 0.016 ]","      5,889","      416","[ 5,074 , 6,704 ]"
"Participated for  for own illness or maternal disability leave","  0.0553"," 0.00193","[ 0.051 , 0.059 ]","     22,578","      801","[ 21,008 , 24,148 ]"
"Participated for ill relative or child bonding leave","  0.0305"," 0.00148","[ 0.028 , 0.033 ]","     12,449","      604","[ 11,265 , 13,633 ]"
"Participated for any reason","  0.0773"," 0.00212","[ 0.073 , 0.081 ]","     31,572","      881","[ 29,844 , 33,300 ]"
"Benefits Received ($), for own illness or maternal disability leave","363.2403","17.01260","[ 330 , 397 ]","148,412,724","7,004,607","[ 134,683,695 , 162,141,754 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 51.2398"," 2.62993","[ 46 , 56 ]"," 20,935,549","1,082,390","[ 18,814,065 , 23,057,033 ]"
"Benefits Received ($), total","414.4801","17.80260","[ 380 , 449 ]","169,348,274","7,342,871","[ 154,956,246 , 183,740,301 ]"
