"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.0241783011260408,0.00127292812840544,"[ 0.022 , 0.027 ]",12443,659.41800096752,"[ 11,151 , 13,735 ]"
"Participated for illspouse leave",7.18956153390267e-05,4.48792046100481e-05,"[ -0.000016 , 0.00016 ]",37,23.0954540981553,"[ -8.3 , 82 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for illparent leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave",0.0241783011260408,0.00127292812840544,"[ 0.022 , 0.027 ]",12443,659.41800096752,"[ 11,151 , 13,735 ]"
"Participated for ill relative or child bonding leave",7.18956153390267e-05,4.48792046100481e-05,"[ -0.000016 , 0.00016 ]",37,23.0954540981553,"[ -8.3 , 82 ]"
"Participated for any reason",0.0241783011260408,0.00127292812840544,"[ 0.022 , 0.027 ]",12443,659.41800096752,"[ 11,151 , 13,735 ]"
"Benefits Received ($), for own illness or maternal disability leave",86.6252510974829,6.56972026845035,"[ 74 , 100 ]",44580386.0985531,3396368.28122602,"[ 37,923,504 , 51,237,268 ]"
"Benefits Received ($), for for ill relative or child bonding leave",0.0791317078867436,0.0554160961085622,"[ -0.029 , 0.19 ]",40723.9464882943,28518.1225104006,"[ -15,172 , 96,619 ]"
"Benefits Received ($), total",86.7043828053697,6.5675818730444,"[ 74 , 100 ]",44621110.0450414,3395110.20894634,"[ 37,966,694 , 51,275,526 ]"
