"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.024178","0.001273","[ 0.022 , 0.027 ]","    12,443","      659","[ 11,151 , 13,735 ]"
"Participated for illspouse leave"," 0.000072","0.000045","[ -0.000016 , 0.00016 ]","        37","       23","[ -8.3 , 82 ]"
"Participated for illchild leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for illparent leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for matdis leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for bond leave"," 0.000000","0.000000","[ 0 , 0 ]","         0","        0","[ 0 , 0 ]"
"Participated for  for own illness or maternal disability leave"," 0.024178","0.001273","[ 0.022 , 0.027 ]","    12,443","      659","[ 11,151 , 13,735 ]"
"Participated for ill relative or child bonding leave"," 0.000072","0.000045","[ -0.000016 , 0.00016 ]","        37","       23","[ -8.3 , 82 ]"
"Participated for any reason"," 0.024178","0.001273","[ 0.022 , 0.027 ]","    12,443","      659","[ 11,151 , 13,735 ]"
"Benefits Received ($), for own illness or maternal disability leave","86.625251","6.569720","[ 74 , 100 ]","44,580,386","3,396,368","[ 37,923,504 , 51,237,268 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 0.079132","0.055416","[ -0.029 , 0.19 ]","    40,724","   28,518","[ -15,172 , 96,619 ]"
"Benefits Received ($), total","86.704383","6.567582","[ 74 , 100 ]","44,621,110","3,395,110","[ 37,966,694 , 51,275,526 ]"
