"Method","Variable","Total_Predictions","True_Positives","True_Negatives","False_Positives","False_Negatives","Predicted_Mean","Predicted_SE","Predicted_CI_low","Predicted_CI_high","Actual_Mean","Actual_SE","Actual_CI_low","Actual_CI_high","Precision","Recall","Accuracy","Actual_Positives","Actual_Negatives","Predicted_Positives","Predicted_Negatives","Positives_Diff","Negatives_Diff","Rand_TP","Rand_TN","Rand_FP","Rand_FN","Rand_Precision","Rand_Recall","Rand_Accuracy","Precision_Index","Recall_Index","Accuracy_Index"
"logit","pred_leave",30901627,14603909,1899385,5490952,8907381,0.6503,0.00687,0.6368,0.6637,0.6503,0.0079,0.7453,0.7764,0.727,0.62,0.53,23511290,7390337,20094861,10806766,3416429,-3416429,15289036.5442794,2584512.54427937,4805824.45572063,8222253.45572063,0.760843110299662,0.650284886294175,0.578401554344007,-0.0338431102996616,-0.0302848862941747,-0.0484015543440069
"logit","need_own",22806440,0,21635156,947790,223495,0.0422,0.00347,0.0354,0.049,0.0422,0.0012,0.0075,0.0121,0,0,0.95,223495,22582946,947790,21858651,-724295,724295,9288.00488151592,21644444.9535239,938501.046476085,214206.995118484,0.00979965411946034,0.0415579985302397,0.949456908178064,-0.00979965411946034,-0.0415579985302397,0.000543091821936126
"logit","need_illspouse",21281494,0,20427117,332089,522288,0.0155,0.00172,0.0122,0.0189,0.0155,0.0013,0.0144,0.0195,0,0,0.96,522288,20759206,332089,20949405,190199,-190199,8150.0903851957,20435267.0903852,323938.909614805,514137.909614804,0.0245418860160851,0.0156045905423745,0.960619455606378,-0.0245418860160851,-0.0156045905423745,-0.00061945560637755
"logit","need_illchild",22806440,0,22483477,150657,172306,0.0049,0.00084,0.0032,0.0065,0.0049,0.0012,0.0053,0.0098,0,0,0.99,172306,22634134,150657,22655783,21649,-21649,1138.23573701112,22484615.235737,149518.764262989,171167.764262989,0.00755514670417652,0.00660589728164501,0.98593877306033,-0.00755514670417652,-0.00660589728164501,0.00406122693967048
"logit","need_illparent",30796103,98321,28319672,1385825,992286,0.0493,0.0031,0.0433,0.0554,0.0493,0.0026,0.0303,0.0406,0.066,0.09,0.92,1090607,29705497,1484146,29311958,-393539,393539,52559.2480523266,28273911.1644459,1431585.8355541,1038047.75194767,0.0354138208136696,0.0481926560643079,0.91980694741446,0.0305861791863304,0.0418073439356921,0.000193052585540476
"logit","need_matdis",10630067,0,10280193,0,349874,0,0,0,0,0,0.0019,0.0104,0.0177,NA,0,0.97,349874,10280193,0,10630067,349874,-349874,0,10280193,0,349874,NA,0,0.967086378665346,NA,0,0.00291362133465389
"logit","need_bond",16732410,1018170,14688615,457575,568050,0.0879,0.01295,0.0625,0.1132,0.0879,0.0073,0.0373,0.0658,0.69,0.64,0.94,1586220,15146190,1475745,15256665,110475,-110475,139899.526362311,13810344.5263623,1335845.47363769,1446320.47363769,0.0947992548592821,0.0881967989070313,0.833725927868408,0.595200745140718,0.551803201092969,0.106274072131592
"logit","pred_need",30901627,1348198,23796005,3151181,2606243,0.1549,0.00903,0.1372,0.1726,0.1549,0.0076,0.1155,0.1452,0.3,0.34,0.81,3954441,26947186,4499379,26402248,-544938,544938,575779.676330279,23023586.6763303,3923599.32366972,3378661.32366972,0.12796869886495,0.145603304317925,0.76369332762513,0.17203130113505,0.194396695682075,0.0463066723748702
"logit","resp_len",30901627,6575750,9202251,7036742,8086885,0.4405,0.00681,0.4272,0.4539,0.4405,0.0074,0.4599,0.4891,0.483,0.45,0.51,14662635,16238993,13612492,17289136,1050143,-1050143,6459045.07346555,9085546.15846111,7153446.84153889,8203589.92653445,0.474493951129259,0.440510527164152,0.503034701988085,0.00850604887074113,0.00948947283584778,0.00696529801191514
"random","pred_leave",30901627,14969110,1678059,5712278,8542180,0.6693,0.00688,0.6558,0.6827,0.6693,0.0079,0.7453,0.7764,0.724,0.637,0.54,23511290,7390337,20681388,10220239,2829902,-2829902,15735291.5712341,2444240.5712341,4946096.4287659,7775998.4287659,0.760843110299662,0.669265343213158,0.58830339717932,-0.0368431102996616,-0.0322653432131583,-0.0483033971793199
