Method,Variable,Total_Predictions,True_Positives,True_Negatives,False_Positives,False_Negatives,Precision,Recall,Accuracy,Actual_Positives,Actual_Negatives,Predicted_Positives,Predicted_Negatives,Positives_Diff,Negatives_Diff,Rand_TP,Rand_TN,Rand_FP,Rand_FN,Rand_Precision,Rand_Recall,Rand_Accuracy,Precision_Index,Recall_Index,Accuracy_Index
logit,pred_leave,29937200,15155276,2352300,3948104,8481520,0.7933,0.6412,0.58,23636796,6300404,19103380,10833820,4533416,-4533416,7672140.036,184830.7554,6115573.244,15964655.96,0.556447605,0.324584603,0.262448418,0.236852395,0.316615397,0.317551582
logit,need_own,21987288,13168,21097060,521208,355852,0.0246,0.0357,0.96,369020,21618268,534376,21452912,-165356,165356,7.886203336,20242875.82,1375392.178,369012.1138,5.73E-06,2.14E-05,0.920663053,0.024594266,0.035678629,0.039336947
logit,need_illspouse,20687524,18640,19615848,550888,502152,0.0327,0.0358,0.95,520792,20166736,569528,20118000,-48736,48736,16.79512734,18599688.04,1567047.958,520775.2048,1.07E-05,3.22E-05,0.899078171,0.032689282,0.035767751,0.050921829
logit,need_illchild,21964776,1760,21485492,286304,191220,0.0061,0.0091,0.98,192980,21771796,288064,21676712,-95084,95084,0.141025796,21016666.25,755129.7484,192979.859,1.87E-07,7.31E-07,0.956834998,0.006099813,0.009099269,0.023165002
logit,need_illparent,29859692,68268,27226720,1262832,1301868,0.0513,0.0498,0.91,1370136,28489552,1331100,28528588,39036,-39036,156.0806396,24825918.56,3663633.435,1369979.919,4.26E-05,0.000113916,0.831424449,0.051257399,0.049686084,0.078575551
logit,need_matdis,9417364,4944,8989080,174060,249280,0.0276,0.0194,0.96,254224,9163140,179004,9238360,75220,-75220,2.595539048,8580273.552,582866.4492,254221.4045,4.45E-06,1.02E-05,0.911112297,0.027595547,0.01938979,0.048887703
logit,need_bond,15750104,71008,14623192,425824,630084,0.1429,0.1013,0.93,701092,15049016,496832,15253276,204260,-204260,320.1335092,13576909.98,1472106.014,700771.8664,0.000217419,0.000456621,0.862040446,0.142682581,0.100843379,0.067959554
logit,resp_len,29937200,6390064,9076192,7105680,7365268,0.4735,0.4646,0.52,13755332,16181872,13495744,16441460,259588,-259588,1363952.471,2751668.868,13430203.13,12391379.53,0.092195358,0.099158092,0.137475141,0.381304642,0.365441908,0.382524859
random_forest,pred_leave,29937200,12452660,3011812,3288596,11184136,0.7911,0.5268,0.52,23636796,6300408,15741256,14195948,7895540,-7895540,5179801.088,303001.3336,5997406.668,18456994.91,0.463425321,0.219141422,0.183143436,0.327674679,0.307658578,0.336856564
random_forest,need_own,19771900,13096,19037536,395788,325480,0.032,0.0387,0.96,338576,19433324,408884,19363016,-70308,70308,8.674189936,18330447.6,1102876.398,338567.3258,7.86E-06,2.56E-05,0.927096348,0.031992135,0.03867438,0.032903652
