"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Counterfactual own leave",38.9534386714781,0.916466671346663,"[ 37 , 41 ]",3335544,99418.625793661,"[ 3,140,683 , 3,530,405 ]"
"Counterfactual illspouse leave",16.7372632266492,1.01044586515366,"[ 15 , 19 ]",204998,14995.3633800585,"[ 175,607 , 234,389 ]"
"Counterfactual illchild leave",15.9910886148143,1.13829069165556,"[ 14 , 18 ]",224307,18206.2440635074,"[ 188,623 , 259,991 ]"
"Counterfactual illparent leave",22.5130740705524,1.46481581181934,"[ 20 , 25 ]",473540,30999.4741931214,"[ 412,781 , 534,299 ]"
"Counterfactual matdis leave",71.7583883751651,2.98712881250336,"[ 66 , 78 ]",1629633,97399.2718204299,"[ 1,438,730 , 1,820,536 ]"
"Counterfactual bond leave",41.8208933717579,1.39131169658293,"[ 39 , 45 ]",290237,18189.6789691297,"[ 254,585 , 325,889 ]"
"Status Quo own leave",38.5893096964813,0.926914227156036,"[ 37 , 40 ]",3304364,99836.5974815849,"[ 3,108,684 , 3,500,044 ]"
"Status Quo illspouse leave",16.157576747224,1.02123855123904,"[ 14 , 18 ]",197898,14648.8863706427,"[ 169,186 , 226,610 ]"
"Status Quo illchild leave",14.3592357596065,1.14435993256797,"[ 12 , 17 ]",201417,17677.7187413987,"[ 166,769 , 236,065 ]"
"Status Quo illparent leave",22.1408196253685,1.47251629944563,"[ 19 , 25 ]",465710,31051.8068918702,"[ 404,848 , 526,572 ]"
"Status Quo matdis leave",71.6262879788639,2.99546430825344,"[ 66 , 77 ]",1626633,97328.5460908052,"[ 1,435,869 , 1,817,397 ]"
"Status Quo bond leave",41.7229106628242,1.41012265404597,"[ 39 , 44 ]",289557,18081.506325525,"[ 254,117 , 324,997 ]"
