"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Counterfactual own leave",62.550222471359,1.23871865587077,"[ 60 , 65 ]",5356113,133057.252537395,"[ 5,095,321 , 5,616,905 ]"
"Counterfactual illspouse leave",38.8141737426519,2.58347708565994,"[ 34 , 44 ]",475396,36113.968595268,"[ 404,613 , 546,179 ]"
"Counterfactual illchild leave",41.9821772296286,2.25479493977184,"[ 38 , 46 ]",588884,40759.2755964823,"[ 508,996 , 668,772 ]"
"Counterfactual illparent leave",67.4632024341542,2.93373179256063,"[ 62 , 73 ]",1419021,78205.2698249933,"[ 1,265,739 , 1,572,303 ]"
"Counterfactual matdis leave",115.736327608983,3.08898732587096,"[ 110 , 122 ]",2628372,118802.541398953,"[ 2,395,519 , 2,861,225 ]"
"Counterfactual bond leave",46.6394812680115,1.12774669118754,"[ 44 , 49 ]",323678,18551.4024321613,"[ 287,317 , 360,039 ]"
"Status Quo own leave",38.2482686940172,1.01625688856488,"[ 36 , 40 ]",3275161,98726.853614151,"[ 3,081,656 , 3,468,666 ]"
"Status Quo illspouse leave",20.1151208360549,1.3696693066424,"[ 17 , 23 ]",246370,18515.9804223271,"[ 210,079 , 282,661 ]"
"Status Quo illchild leave",14.5039566550225,1.27279759593939,"[ 12 , 17 ]",203447,19677.2074530407,"[ 164,880 , 242,014 ]"
"Status Quo illparent leave",28.9377674241704,2.18986116573236,"[ 25 , 33 ]",608677,51228.4199375698,"[ 508,269 , 709,085 ]"
"Status Quo matdis leave",65.7396741523558,2.66741554612109,"[ 61 , 71 ]",1492948,78610.9178587809,"[ 1,338,871 , 1,647,025 ]"
"Status Quo bond leave",42.7373198847262,1.3459650304501,"[ 40 , 45 ]",296597,17758.1100261261,"[ 261,791 , 331,403 ]"
