"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Counterfactual own leave",62.4881874131427,1.16475739276589,"[ 60 , 65 ]",5350801,127890.303900452,"[ 5,100,136 , 5,601,466 ]"
"Counterfactual illspouse leave",35.9818745917701,2.57268926305837,"[ 31 , 41 ]",440706,40173.6553589538,"[ 361,966 , 519,446 ]"
"Counterfactual illchild leave",43.508590575319,1.79918532025646,"[ 40 , 47 ]",610295,36732.3071307807,"[ 538,300 , 682,290 ]"
"Counterfactual illparent leave",63.9869259294476,2.31420234192226,"[ 59 , 69 ]",1345901,67776.8032615142,"[ 1,213,058 , 1,478,744 ]"
"Counterfactual matdis leave",117.055438132981,3.12784387838819,"[ 111 , 123 ]",2658329,127330.101607986,"[ 2,408,762 , 2,907,896 ]"
"Counterfactual bond leave",44.9657060518732,1.09666036736059,"[ 43 , 47 ]",312062,16936.0975493176,"[ 278,867 , 345,257 ]"
"Status Quo own leave",38.2269558210419,1.01200381017789,"[ 36 , 40 ]",3273336,99201.2176969114,"[ 3,078,902 , 3,467,770 ]"
"Status Quo illspouse leave",18.3213585891574,1.50625036325636,"[ 15 , 21 ]",224400,22426.0608868343,"[ 180,445 , 268,355 ]"
"Status Quo illchild leave",14.9796820417766,0.822643757800637,"[ 13 , 17 ]",210120,15469.4480832381,"[ 179,800 , 240,440 ]"
"Status Quo illparent leave",27.9068175335172,2.22083897785597,"[ 24 , 32 ]",586992,50674.9786438041,"[ 487,669 , 686,315 ]"
"Status Quo matdis leave",65.9865257595773,2.18050518291076,"[ 62 , 70 ]",1498554,75185.9430565315,"[ 1,351,190 , 1,645,918 ]"
"Status Quo bond leave",40.2625360230548,1.40000648707177,"[ 38 , 43 ]",279422,16340.2552458644,"[ 247,395 , 311,449 ]"
