"Method","Variable","Total_Predictions","True_Positives","True_Negatives","False_Positives","False_Negatives","Precision","Recall","Accuracy","Actual_Positives","Actual_Negatives","Predicted_Positives","Predicted_Negatives","Positives_Diff","Negatives_Diff","Rand_TP","Rand_TN","Rand_FP","Rand_FN","Rand_Precision","Rand_Recall","Rand_Accuracy","Precision_Index","Recall_Index","Accuracy_Index"
"logit","take_own",7.5e+07,1.8e+07,2.4e+07,1.8e+07,1.6e+07,0.502,0.519,0.55,3.4e+07,4.2e+07,3.6e+07,4e+07,-2e+06,2e+06,4320000,7680000,34320000,29680000,0.111801242236025,0.127058823529412,0.157894736842105,0.390198757763975,0.391941176470588,0.392105263157895
"logit","take_illspouse",5.2e+07,4e+05,4.5e+07,3500000,3100000,0.103,0.117,0.87,3500000,48500000,3900000,48100000,-4e+05,4e+05,3076.92307692308,38942307.6923077,9557692.3076923,3496923.07692308,0.000321827982943117,0.000879120879120879,0.748949704142012,0.102678172017057,0.116120879120879,0.121050295857988
"logit","take_illchild",7.5e+07,270000,6.8e+07,3700000,3400000,0.068,0.074,0.91,3670000,71700000,3970000,71400000,-3e+05,3e+05,972,61653333.3333333,10046666.6666667,3669028,9.67391475993895e-05,0.000264850136239782,0.818021830082703,0.0679032608524006,0.0737351498637602,0.0919781699172969
"logit","take_illparent",7.5e+07,570000,6.5e+07,5500000,3900000,0.094,0.126,0.87,4470000,70500000,6070000,68900000,-1600000,1600000,4332,56333333.3333333,14166666.6666667,4465668,0.000305694757433703,0.000969127516778523,0.751469458894669,0.0936943052425663,0.125030872483221,0.118530541105331
"logit","take_matdis",2.3e+07,2600000,1.3e+07,3800000,3800000,0.401,0.404,0.67,6400000,16800000,6400000,16800000,0,0,293913.043478261,7347826.08695652,9452173.91304348,6106086.95652174,0.0301570306923626,0.0459239130434783,0.329385307346327,0.370842969307637,0.358076086956522,0.340614692653673
"logit","take_bond",1.6e+07,0,1.5e+07,520000,4e+05,0,0,0.94,4e+05,15520000,520000,15400000,-120000,120000,0,14062500,1457500,4e+05,0,0,0.883322864321608,0,0,0.0566771356783919
"logit","need_own",7.6e+07,1600000,5.6e+07,9200000,9100000,0.146,0.148,0.76,10700000,65200000,10800000,65100000,-1e+05,1e+05,33684.2105263158,41263157.8947368,23936842.1052632,10666315.7894737,0.00140523449850694,0.00314805705853419,0.544095416406629,0.144594765501493,0.144851942941466,0.215904583593371
"logit","need_illspouse",5.3e+07,130000,5e+07,1300000,1300000,0.086,0.088,0.95,1430000,51300000,1430000,51300000,0,0,318.867924528302,47169811.3207547,4130188.67924529,1429681.13207547,7.71982428035478e-05,0.000222984562607204,0.894559647044932,0.0859228017571965,0.0877770154373928,0.0554403529550684
"logit","need_illchild",7.6e+07,46000,7.1e+07,2100000,2300000,0.021,0.019,0.94,2346000,73100000,2146000,73300000,2e+05,-2e+05,27.8421052631579,66328947.3684211,6771052.63157894,2345972.15789474,4.11191468944524e-06,1.18679050567595e-05,0.879158274932088,0.0209958880853106,0.0189881320949432,0.0608417250679119
"logit","need_illparent",7.6e+07,120000,6.9e+07,3100000,3200000,0.037,0.036,0.92,3320000,72100000,3220000,72200000,1e+05,-1e+05,189.473684210526,62644736.8421053,9455263.15789474,3319810.52631579,2.00385631014352e-05,5.70703868103995e-05,0.830614244441653,0.0369799614368986,0.0359429296131896,0.0893857555583472
"logit","need_matdis",2.3e+07,0,2.2e+07,450000,590000,0,0,0.95,590000,22450000,450000,22590000,140000,-140000,0,21043478.2608696,1406521.73913043,590000,0,0,0.913345410628019,0,0,0.0366545893719806
"logit","need_bond",4e+07,4e+05,3.6e+07,1200000,1400000,0.244,0.222,0.93,1800000,37200000,1600000,37400000,2e+05,-2e+05,4000,32400000,4800000,1796000,0.000832639467110741,0.00222222222222222,0.830871794871795,0.243167360532889,0.219777777777778,0.0991282051282052
"logit","resp_len",7.6e+07,1.7e+07,2.3e+07,1.8e+07,1.8e+07,0.476,0.473,0.52,3.5e+07,4.1e+07,3.5e+07,4.1e+07,0,0,3802631.57894737,6960526.31578947,34039473.6842105,31197368.4210526,0.100486787204451,0.108646616541353,0.141620498614958,0.375513212795549,0.364353383458647,0.378379501385042
"Naive_Bayes","take_own",7.4e+07,1.8e+07,1.1e+07,3e+07,1.4e+07,0.3827,0.562,0.4,3.2e+07,4.1e+07,4.8e+07,2.5e+07,-1.6e+07,1.6e+07,4378378.37837838,1635135.13513514,39364864.8648649,27621621.6216216,0.100092678405931,0.136824324324324,0.0823768974453906,0.282607321594069,0.425175675675676,0.317623102554609
"Naive_Bayes","take_illspouse",5.2e+07,0,4.6e+07,2800000,3500000,0,0,0.88,3500000,48800000,2800000,49500000,7e+05,-7e+05,0,40692307.6923077,8107692.3076923,3500000,0,0,0.778055596411237,0,0,0.101944403588763
"Naive_Bayes","take_illchild",7.4e+07,140000,6.9e+07,1600000,3400000,0.0788,0.039,0.93,3540000,70600000,1740000,72400000,1800000,-1800000,264.864864864865,64337837.8378378,6262162.16216216,3539735.13513514,4.2294283625466e-05,7.48205832951596e-05,0.867792051560598,0.0787577057163745,0.0389251794167048,0.0622079484394024
"Naive_Bayes","take_illparent",7.4e+07,3700000,9600000,6e+07,740000,0.0578,0.832,0.18,4440000,69600000,63700000,10340000,-59260000,59260000,185000,1245405.40540541,68354594.5945946,4255000,0.00269916974406192,0.0416666666666667,0.0193193598785171,0.0551008302559381,0.790333333333333,0.160680640121483
