"Group.1","Precision","Recall","Accuracy","Rand_Precision","Rand_Recall","Rand_Accuracy","Precision_Index","Recall_Index","Accuracy_Index"
"need_bond",0.1248,0.1098,0.952,0.000395019801195509,0.000788085444297367,0.898393715359789,0.124404980198804,0.109011914555703,0.053606284640211
"need_illchild",NA,0.0672,0.882,2.55683141130157e-05,0.00028848072415299,0.794912185675171,NA,0.066911519275847,0.0870878143248286
"need_illparent",NA,0.1278,0.85,0.000187523872466667,0.00208419826911346,0.733026450329153,NA,0.125715801730887,0.116973549670847
"need_illspouse",NA,0.0222,0.938,7.71648835277486e-06,2.06066471948375e-05,0.880772502400785,NA,0.0221793933528052,0.0572274975992146
"need_matdis",NA,0.0316,0.956,7.51539109832777e-06,5.09009467576097e-05,0.913308410114401,NA,0.0315490990532424,0.0426915898855986
"need_own",0.1538,0.2234,0.692,0.00266397010180283,0.0133635109589855,0.496236256063542,0.151136029898197,0.210036489041014,0.195763743936458
"resp_len",0.45428,0.4996,0.508,0.0943247894503418,0.114371477841007,0.139286309799869,0.359955210549658,0.385228522158993,0.368713690200131
"take_bond",NA,0.02,0.96,1.02082482645978e-05,3.19488817891374e-05,0.924037720238903,NA,0.0199680511182109,0.0359622797610966
"take_illchild",0.0505,0.0412,0.92,4.66768556554129e-05,0.000115002274091337,0.848923905447412,0.0504533231443446,0.0410849977259087,0.0710760945525877
"take_illparent",0.10926,0.2536,0.74,0.00113796859989836,0.0111187943894245,0.606593871235576,0.108122031400102,0.242481205610575,0.133406128764424
"take_illspouse",0.0856,0.0854,0.86,0.00033596357456366,0.00094413806534684,0.727052823597822,0.0852640364254363,0.0844558619346532,0.132947176402178
"take_matdis",0.37956,0.3342,0.676,0.0190122387604741,0.028234482198338,0.36826029335437,0.360547761239526,0.305965517801662,0.30773970664563
"take_own",0.51636,0.5104,0.522,0.125339195072043,0.127203282895233,0.139921815201665,0.391020804927957,0.383196717104767,0.382078184798335
