"","id","longer_leave","length_illparent","length_illchild","length_own","prop_pay","unaffordable","take_bond","take_matdis","take_illparent","take_illchild","take_illspouse","take_own","emp_size","num_emp","paid_hrly","nochildren","lnfaminc","faminc","lnearn","fem_cu6","fem_c617","fem_cu6and617","fem_nochild","age","a_age","widowed","divorced","hiemp","separated","nevermarried","male","female","agesq","ltHS","someCol","BA","GradSch","black","white","asian","other","hisp","OCC","occ_1","occ_2","occ_3","occ_4","occ_5","occ_6","occ_7","occ_8","occ_9","occ_10","ind_1","ind_2","ind_3","ind_4","ind_5","ind_6","ind_7","ind_8","ind_9","ind_10","ind_11","ind_12","ind_13","weeks_worked","WAGP","WKHP","PWGTP","PWGTP1","PWGTP2","PWGTP3","PWGTP4","PWGTP5","PWGTP6","PWGTP7","PWGTP8","PWGTP9","PWGTP10","PWGTP11","PWGTP12","PWGTP13","PWGTP14","PWGTP15","PWGTP16","PWGTP17","PWGTP18","PWGTP19","PWGTP20","PWGTP21","PWGTP22","PWGTP23","PWGTP24","PWGTP25","PWGTP26","PWGTP27","PWGTP28","PWGTP29","PWGTP30","PWGTP31","PWGTP32","PWGTP33","PWGTP34","PWGTP35","PWGTP36","PWGTP37","PWGTP38","PWGTP39","PWGTP40","PWGTP41","PWGTP42","PWGTP43","PWGTP44","PWGTP45","PWGTP46","PWGTP47","PWGTP48","PWGTP49","PWGTP50","PWGTP51","PWGTP52","PWGTP53","PWGTP54","PWGTP55","PWGTP56","PWGTP57","PWGTP58","PWGTP59","PWGTP60","PWGTP61","PWGTP62","PWGTP63","PWGTP64","PWGTP65","PWGTP66","PWGTP67","PWGTP68","PWGTP69","PWGTP70","PWGTP71","PWGTP72","PWGTP73","PWGTP74","PWGTP75","PWGTP76","PWGTP77","PWGTP78","PWGTP79","PWGTP80","FER","WKW","COW","ESR","partner","ndep_kid","ndep_old","empgov_fed","empgov_st","wkhours","empgov_loc","weeks_worked_cat","length_illspouse","length_matdis","length_bond","pay_schedule","total_length","total_leaves","exhausted_by","eligworker","benefit_prop","benefit_prop_temp","particip","orig_len_own","orig_len_illspouse","orig_len_illchild","orig_len_illparent","orig_len_matdis","orig_len_bond","extend_flag","fmla_constrain_flag","particip_length","plen_own","plen_illspouse","plen_illchild","plen_illparent","plen_matdis","plen_bond","DI_plen","PFL_plen","base_benefits","base_leave_pay","actual_leave_pay","actual_benefits","bene_effect_flg","topoff_flg","reduce","ptake_PFL","ptake_DI","bene_DI","bene_PFL","bene_own","ptake_own","bene_illspouse","ptake_illspouse","bene_illchild","ptake_illchild","bene_illparent","ptake_illparent","bene_matdis","ptake_matdis","bene_bond","ptake_bond"
"1",5,1,0,0,0,0.125,1,0,0,0,0,0,0,504,1,1,0,11.0946998752692,65821.372543755,10.6091920594875,NA,NA,NA,NA,31,31,0,0,1,0,0,1,0,961,0,1,0,0,0,1,0,0,0,1920,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52,40000,40,37,40,40,71,12,60,60,40,40,13,10,49,37,42,36,68,44,37,38,12,68,41,39,13,58,10,11,35,34,56,57,10,40,41,40,10,41,32,38,66,67,38,30,12,67,10,12,38,37,76,64,11,36,31,37,12,37,43,42,63,8,38,36,61,12,67,64,38,38,13,13,80,41,32,34,67,33,35,33,11,12,NA,1,1,1,0,1,0,0,0,40,0,51,0,0,0,"some pay, all weeks",0,0,NA,1,0.5,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",7,1,1,0,0,1,0,0,0,1,0,0,0,91923,1,1,0,11.2187129449874,7900,8.98717536484654,0,0,0,1,69,69,1,0,1,0,0,0,1,4761,0,0,0,1,0,1,0,0,0,9620,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,20,7900,15,21,6,36,34,5,19,33,6,5,23,22,32,18,21,22,23,34,23,22,5,21,36,8,6,41,18,6,34,30,18,21,7,20,17,21,26,6,23,21,33,22,6,28,37,6,19,36,6,5,20,18,33,21,24,20,21,35,20,22,6,24,32,6,6,40,21,7,31,34,24,22,7,22,21,19,22,6,19,18,33,22,NA,5,1,1,0,0,1,0,0,15,0,20,0,0,0,"all pay, all weeks",1,1,NA,0,0.4,0.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",9,1,0,0,45,0.125,1,0,0,0,0,0,1,218,2,0,0,8.14408803699568,3442.96410228872,6.92031260537356,0,0,0,1,19,19,0,0,0,0,1,0,1,361,0,1,0,0,0,0,0,0,1,2550,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,1000,10,22,6,36,30,7,21,40,7,9,21,22,33,23,22,22,26,56,22,23,7,23,37,8,8,32,17,6,40,45,21,33,7,30,16,19,24,6,23,23,37,19,30,8,6,36,21,7,38,47,20,21,9,19,24,28,18,8,22,26,33,18,5,36,46,9,26,36,7,6,27,35,41,26,26,23,18,34,26,19,7,20,2,6,2,1,0,2,0,0,0,10,0,7.5,0,0,0,"some pay, all weeks",45,1,NA,0,0.4,0.7,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.75,93.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",18,0,0,0,0,1,1,0,0,0,0,0,0,28301,1,1,0,11.5354331222148,102276.286567989,11.2378007189099,NA,NA,NA,NA,34,34,0,0,1,0,0,1,0,1156,0,1,0,0,0,1,0,0,0,7200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,75000,55,23,24,42,25,27,33,24,42,7,7,22,18,22,36,21,6,21,7,7,38,22,27,7,27,22,6,25,8,47,35,19,24,24,7,24,41,22,39,32,8,22,23,8,23,24,5,23,6,40,41,21,24,24,7,21,35,32,45,44,7,20,24,39,22,23,40,23,42,7,6,23,23,23,38,25,7,27,7,7,41,23,NA,1,1,1,0,2,0,0,0,55,0,51,0,0,0,"all pay, all weeks",0,0,NA,1,0.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",19,0,0,0,0,0.875,0,0,0,0,0,0,0,84,3,1,0,11.5354331222148,102276.286567989,10.178409143395,1,0,0,0,37,37,0,0,1,0,0,0,1,1369,0,1,0,0,0,1,0,0,0,4600,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,52,26000,35,21,24,31,21,23,33,21,35,6,7,21,20,21,35,19,6,19,6,6,35,20,23,6,23,21,6,22,7,40,31,20,22,22,7,23,34,21,43,30,6,20,24,6,21,21,6,20,6,37,37,22,22,21,7,20,32,21,34,40,7,21,21,38,21,21,34,21,38,5,6,20,19,21,34,23,5,23,6,6,41,21,2,1,1,1,0,2,0,0,0,35,0,51,0,0,0,"some pay, all weeks",0,0,NA,0,0.5,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",20,1,0,0,0,0,1,0,0,0,0,0,0,29848,1,1,0,11.2187129449874,7200,8.89439363139557,0,0,0,1,37,37,0,0,0,0,1,0,1,1369,1,0,0,0,1,0,0,0,0,5240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,7200,32,41,56,13,15,37,38,45,51,48,13,45,13,14,53,53,57,40,46,73,44,42,79,13,12,48,51,35,59,41,10,34,12,13,55,36,59,42,46,75,45,41,60,13,16,47,46,43,76,39,11,32,12,15,58,45,61,35,54,53,36,49,53,11,20,43,35,30,54,49,12,46,13,14,68,43,53,47,60,58,36,45,2,4,1,1,0,0,0,0,0,32,0,33,0,0,0,"no pay",0,0,NA,0,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",24,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,11.2187129449874,2000,7.61345978593351,NA,NA,NA,NA,64,64,0,0,1,0,1,1,0,4096,0,0,0,1,0,1,0,0,0,4850,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,2000,30,10,10,3,15,2,9,19,14,16,7,2,16,8,10,10,9,3,3,10,9,12,9,3,14,2,11,13,17,15,10,3,15,11,10,8,7,3,4,8,10,11,9,3,17,2,9,15,16,15,8,3,13,9,10,9,9,3,3,10,10,9,8,3,14,2,11,20,13,16,9,3,17,10,10,9,11,3,3,10,9,9,NA,5,1,1,0,0,0,0,0,30,0,20,0,0,0,"no pay",0,0,NA,0,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",26,1,0,0,0,0.125,1,0,0,0,0,0,0,198,1,1,0,11.7078376809334,121520.430626781,11.0146571675957,NA,NA,NA,NA,63,63,0,0,1,0,0,1,0,3969,0,1,0,0,0,1,0,0,0,5700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,52,60000,70,14,15,4,5,26,30,4,12,24,4,5,14,13,20,14,14,13,15,23,20,18,17,5,4,30,27,4,12,27,6,5,13,17,27,13,18,15,16,24,11,17,15,4,3,29,25,5,14,29,4,6,16,12,22,15,11,15,15,23,16,17,15,4,6,20,29,4,13,21,4,5,14,12,20,15,15,15,14,26,20,15,NA,1,1,1,0,0,0,0,0,70,0,51,0,0,0,"some pay, some weeks",0,0,0,1,0.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",27,0,0,0,0,1,0,0,0,0,0,0,0,13,1,1,0,11.7078376809334,121520.430626781,10.98075561592,0,1,0,0,34,34,0,0,1,0,1,0,1,1156,0,0,0,0,0,1,0,0,0,5240,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,52,58000,40,12,11,4,5,20,22,4,10,13,4,5,11,10,14,8,17,11,11,18,9,10,11,3,2,17,17,2,9,22,3,4,15,23,18,9,10,14,16,22,17,9,11,5,3,23,27,3,10,18,3,5,18,11,18,10,14,17,11,25,10,10,7,4,3,7,20,4,11,13,4,4,12,12,20,12,9,10,12,22,15,7,2,1,1,1,0,0,0,0,0,40,0,51,0,0,0,"all pay, all weeks",0,0,NA,1,0.6,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",34,0,0,0,0,0,1,0,0,0,0,0,0,31541,1,1,0,11.2187129449874,5000,8.52975051780766,NA,NA,NA,NA,18,18,0,0,1,0,1,0,1,324,0,1,0,0,0,1,0,0,0,4150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52,5000,20,17,33,16,31,3,18,34,31,16,18,18,17,18,2,17,33,2,17,3,18,31,3,17,2,30,18,3,2,18,19,16,16,18,32,17,2,31,16,33,18,2,30,18,32,3,17,32,33,17,18,17,17,16,3,18,32,2,17,2,19,31,3,17,3,32,18,2,3,17,17,18,17,17,31,16,2,33,16,30,18,2,2,1,1,1,0,0.378571428571429,0.221428571428571,0,0,20,0,51,0,0,0,"no pay",0,0,NA,0,0.4,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
