"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave",0.00488997555012225,0.00493051201477891,"[ -0.0048 , 0.015 ]",14,14.0231950710243,"[ -13  41 ]"
"Participated for illspouse leave",0,0,"[ 0 , 0 ]",0,0,"[ 0  0 ]"
"Participated for illchild leave",0,0,"[ 0 , 0 ]",0,0,"[ 0  0 ]"
"Participated for illparent leave",0.00803353126091512,0.00855811274571753,"[ -0.0087 , 0.025 ]",23,24.5835310726511,"[ -25  71 ]"
"Participated for matdis leave",0,0,"[ 0 , 0 ]",0,0,"[ 0  0 ]"
"Participated for bond leave",0,0,"[ 0 , 0 ]",0,0,"[ 0  0 ]"
"Participated for  for own illness or maternal disability leave",0.00488997555012225,0.00493051201477891,"[ -0.0048 , 0.015 ]",14,14.0231950710243,"[ -13  41 ]"
"Participated for ill relative or child bonding leave",0.00803353126091512,0.00855811274571753,"[ -0.0087 , 0.025 ]",23,24.5835310726511,"[ -25  71 ]"
"Participated for any reason",0.0129235068110374,0.009886103342158,"[ -0.0065 , 0.032 ]",37,28.5008771794834,"[ -19  93 ]"
"Benefits Received ($), for own illness or maternal disability leave",35.5463607297348,35.8410296458929,"[ -35 , 106 ]",101769.230769231,101937.841093215,"[ -98,029  301,567 ]"
"Benefits Received ($), for for ill relative or child bonding leave",3.05892151857922,3.25866600702321,"[ -3.3 , 9.4 ]",8757.69230769231,9360.65221612482,"[ -9,589  27,105 ]"
"Benefits Received ($), total",38.605282248314,35.99593089871,"[ -32 , 109 ]",110526.923076923,102519.376314775,"[ -90,411  311,465 ]"
