"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave"," 0.0049"," 0.0049","[ -0.0048 , 0.015 ]","     14","     14","[ -13  41 ]"
"Participated for illspouse leave"," 0.0000"," 0.0000","[ 0 , 0 ]","      0","      0","[ 0  0 ]"
"Participated for illchild leave"," 0.0000"," 0.0000","[ 0 , 0 ]","      0","      0","[ 0  0 ]"
"Participated for illparent leave"," 0.0080"," 0.0086","[ -0.0087 , 0.025 ]","     23","     25","[ -25  71 ]"
"Participated for matdis leave"," 0.0000"," 0.0000","[ 0 , 0 ]","      0","      0","[ 0  0 ]"
"Participated for bond leave"," 0.0000"," 0.0000","[ 0 , 0 ]","      0","      0","[ 0  0 ]"
"Participated for  for own illness or maternal disability leave"," 0.0049"," 0.0049","[ -0.0048 , 0.015 ]","     14","     14","[ -13  41 ]"
"Participated for ill relative or child bonding leave"," 0.0080"," 0.0086","[ -0.0087 , 0.025 ]","     23","     25","[ -25  71 ]"
"Participated for any reason"," 0.0129"," 0.0099","[ -0.0065 , 0.032 ]","     37","     29","[ -19  93 ]"
"Benefits Received ($), for own illness or maternal disability leave","35.5464","35.8410","[ -35 , 106 ]","101,769","101,938","[ -98,029  301,567 ]"
"Benefits Received ($), for for ill relative or child bonding leave"," 3.0589"," 3.2587","[ -3.3 , 9.4 ]","  8,758","  9,361","[ -9,589  27,105 ]"
"Benefits Received ($), total","38.6053","35.9959","[ -32 , 109 ]","110,527","102,519","[ -90,411  311,465 ]"
