"Variable","Mean","Standard Error of Mean","Confidence Interval","Population Total","Pop Total Standard Error","Pop Total CI"
"Participated for own leave","3.311841e-02",0.012195863521081,"[ 0.009214513 , 0.0570223 ]",113,40.4338966709863,"[ 33.74956 , 192.2504 ]"
"Participated for illspouse leave","0.000000e+00",0,"[ 0.000 , 0.000 ]",0,0,"[ 0.000 , 0.000 ]"
"Participated for illchild leave","4.103165e-03",0.00410403403660995,"[ -0.003940741 , 0.01214707 ]",14,13.7967387450803,"[ -13.04161 , 41.04161 ]"
"Participated for illparent leave","2.696366e-02",0.0182808764379627,"[ -0.00886686 , 0.06279418 ]",92,65.9814367833863,"[ -37.32362 , 221.3236 ]"
"Participated for matdis leave","4.103165e-03",0.00433886412186324,"[ -0.004401008 , 0.01260734 ]",14,14.9063744753713,"[ -15.21649 , 43.21649 ]"
"Participated for bond leave","0.000000e+00",0,"[ 0.000 , 0.000 ]",0,0,"[ 0.000 , 0.000 ]"
"Participated for  for own illness or maternal disability leave","3.722157e-02",0.0127858284016607,"[ 0.01216135 , 0.06228179 ]",127,43.1694336307531,"[ 42.38791 , 211.6121 ]"
"Participated for ill relative or child bonding leave","3.106682e-02",0.018555776509562,"[ -0.005302499 , 0.06743614 ]",106,67.4655467627737,"[ -26.23247 , 238.2325 ]"
"Participated for any reason","6.418523e-02",0.0206602071026947,"[ 0.02369122 , 0.1046792 ]",219,79.3986775708513,"[ 63.37859 , 374.6214 ]"
"Benefits Received ($), for own illness or maternal disability leave","1.262151e+02",62.9356594060681,"[ 2.861163 , 249.5689 ]",430645.769230769,221701.582440094,"[ -3889.332 , 865180.871 ]"
"Benefits Received ($), for for ill relative or child bonding leave","1.310071e+01",7.62035005318202,"[ -1.835171 , 28.0366 ]",44699.6388640429,26636.2521901857,"[ -7507.415 , 96906.693 ]"
"Benefits Received ($), total","1.393158e+02",63.1839661043212,"[ 15.4752 , 263.1563 ]",475345.408094812,225078.052801327,"[ 34192.425 , 916498.392 ]"
